age,body type,bust size,category,fit,height,rating,rented for,size,weight,user_id,item_id
28,hourglass,34d,romper,fit,"5' 8""",10,vacation,14,137lbs,1,1
28,hourglass,34d,dress,fit,"5' 8""",8,other,8,137lbs,1,287
28,hourglass,34d,dress,fit,"5' 8""",10,vacation,14,137lbs,1,1800
28,hourglass,34d,jumpsuit,fit,"5' 8""",2,everyday,14,137lbs,1,689
28,hourglass,34d,jumpsuit,small,"5' 8""",6,vacation,14,137lbs,1,1616
28,hourglass,34d,jumpsuit,fit,"5' 8""",10,party,12,137lbs,1,2073
34,athletic,34dd,romper,small,"5' 9""",6,vacation,8,145lbs,14420,1
34,athletic,34dd,dress,small,"5' 9""",8,other,8,145lbs,14420,207
34,athletic,34dd,coat,fit,"5' 9""",10,everyday,8,145lbs,14420,550
34,athletic,34dd,romper,fit,"5' 9""",10,party,8,145lbs,14420,1296
34,athletic,34dd,dress,fit,"5' 9""",10,other,12,145lbs,14420,4190
29,full bust,34d,romper,small,"5' 6""",8,wedding,20,158lbs,12421,1
29,full bust,34d,dress,fit,"5' 6""",10,wedding,16,158lbs,12421,961
29,full bust,34d,dress,fit,"5' 6""",8,wedding,16,158lbs,12421,1084
29,full bust,34d,romper,fit,"5' 6""",10,wedding,20,158lbs,12421,1853
29,full bust,34d,romper,fit,"5' 6""",10,party,14,158lbs,12421,1967
29,full bust,34d,dress,fit,"5' 6""",8,work,20,158lbs,12421,2131
29,full bust,34d,dress,small,"5' 6""",10,wedding,20,158lbs,12421,2905
35,hourglass,36c,romper,small,"5' 7""",4,everyday,14,145lbs,7783,1
35,hourglass,36c,coat,fit,"5' 7""",10,everyday,16,145lbs,7783,369
35,hourglass,36c,dress,large,"5' 7""",10,wedding,16,145lbs,7783,556
35,hourglass,36c,top,fit,"5' 7""",10,everyday,14,145lbs,7783,1597
35,hourglass,36c,dress,fit,"5' 7""",10,party,16,145lbs,7783,2229
35,hourglass,36c,dress,large,"5' 7""",10,everyday,16,145lbs,7783,2652
35,hourglass,36c,jumpsuit,fit,"5' 7""",10,everyday,16,145lbs,7783,935
35,hourglass,36c,pants,fit,"5' 7""",10,everyday,16,145lbs,7783,3256
35,hourglass,36c,pant,fit,"5' 7""",10,everyday,14,145lbs,7783,3333
35,hourglass,36c,dress,fit,"5' 7""",8,work,16,145lbs,7783,3610
31,hourglass,34b,romper,fit,"5' 4""",6,everyday,20,165lbs,35884,1
31,hourglass,34b,dress,fit,"5' 4""",10,everyday,20,165lbs,35884,555
31,hourglass,34b,jumpsuit,fit,"5' 4""",10,work,20,165lbs,35884,760
31,hourglass,34b,dress,fit,"5' 4""",10,work,20,165lbs,35884,70
